eyeBlinkLeft,eyeBlinkRight,eyeSquintLeft,eyeSquintRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeWideLeft,eyeWideRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,jawForward,jawLeft,jawOpen,jawRight,mouthLeft,mouthRight,mouthFrownLeft,mouthFrownRight,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthDimpleLeft,mouthDimpleRight,mouthRollUpper,mouthRollLower,mouthShrugUpper,mouthLowerDown,mouthShrugLower,mouthFunnel,mouthPucker,mouthCompress,mouthUpperOut,FaceSneer,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,mouthUpperUpRight,mouthUpperUpLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthPressLeft,mouthPressRight,mouthClose,tongueOut
-0,-0,-0,-0,0,0,0,0.044601,0,0,0.044609,0,0.01522,0.01522,-0,-0,0.050953,0.103579,0.103579,0.00073384086,0.00020562857,0.015265037,-0.00000038157887,-0.000010667935,-0.00018035845,0.00043647885,0.00032550422,0.14114746,0.14119029,0.00044457056,0.00043009335,0.01343515,0.017716888,-0.0013220033,0.0004718194,0.00074011984,0.0042474573,0.0012501071,-0.008408921,0.0011092097,-0.000000005222448,-0.0005396652,0.000000000350247,0.00031249915,0.11183523,0.111719206,0.00021390877,0.00016717576,-0.00004658019,-0.000046580168,0.0017758467,0.001960417,0.0040815766,0.004126915,0.00089072436,-0.0000041265857
0.390489,0.390343,-0,-0,0.033417,0.033417,0,0.017236,0,0,0.017245,0,0,0,0.01256,0.01256,0.045689,0.089557,0.089557,0.00058847666,0.00038083494,0.032446567,-0.00000064175475,0.000004742092,0.000083068386,0.00016507656,0.0003904203,0.24358934,0.24354371,0.00059125124,0.00062093063,0.0041697323,0.005109839,-0.0018427657,0.0010916948,0.0011587202,0.009116931,0.0020296243,-0.011721048,-0.0029625893,-0.000000010328128,-0.0006789444,0.0000000006934032,0.0006279167,0.12225688,0.12201678,0.0003482908,0.00020229816,-0.00024339171,-0.00024339175,0.001226224,0.0014549092,0.001294072,0.0014225803,-0.0019471288,-0.000005831482
0.931044,0.930815,-0,-0,0.117855,0.117855,0.00705,0,0,0,0,0.00707,0,0,0.02611,0.02611,0.040267,0.075155,0.075155,0.0013783658,0.0004302375,0.08485848,0.00000015259593,-0.000016900054,0.00009044213,-0.0002813455,-0.000025411835,0.2973047,0.29705757,0.00050915964,0.0005609654,-0.00054458715,-0.00017361509,-0.0003506858,0.0012494549,0.00094372313,0.017663239,0.0010847519,0.0014820956,-0.000049099326,-0.0000000127292825,-0.0007812821,0.0000000009947763,0.00074471184,0.10603449,0.10583473,0.00023557153,0.00009220373,-0.00076855125,-0.00076855125,0.0046000294,0.004889911,0.0007815482,0.0009594094,-0.002593454,-0.0000033359902
1,1,-0,-0,0.163067,0.163067,0.022196,0,0,0,0,0.022233,0,0,0.038573,0.038573,0.035331,0.063368,0.063368,0.0020023622,0.0001187399,0.14759219,0.00000013809859,-0.00008238402,0.00002986705,0.0034694679,0.0033179624,0.31280318,0.31228557,0.0003284905,0.00052967295,-0.0011124946,-0.0015325416,0.00040022004,0.0008412474,0.00027424376,0.024904598,-0.000079261605,0.021818206,-0.0010209568,-0.000000013144877,-0.0003119856,0.0000000011031306,0.00052698934,0.0812785,0.08105594,-0.000367783,-0.00029272586,-0.0016232267,-0.0016232268,0.012816101,0.012301966,-0.00019656494,-0.000060521066,-0.0018104874,0.0000023245739
0.731231,0.731509,-0,-0,0.15378,0.15378,0.025231,0,0,0,0,0.025277,0,0,0.048969,0.048969,0.035053,0.057944,0.057944,0.0039962167,0.00033869408,0.28004897,0.00000069763973,-0.000024006496,0.000055882614,0.004357968,0.0038778954,0.37917385,0.37899747,0.0003842637,0.0004319027,-0.001452595,-0.0020243842,-0.00017181598,0.00035174098,0.0006953338,0.042230688,-0.00035473285,0.010708097,-0.0021506287,-0.000000014827775,-0.00012003211,0.0000000012450948,-0.00006035203,0.06672121,0.06627759,-0.00045404676,-0.000516274,-0.0010737248,-0.0010737247,0.050554894,0.05013471,-0.0005716393,-0.0004996527,-0.0011504814,0.00000083790655
0.516083,0.516411,-0,-0,0.129409,0.129409,0.024786,0,0,0,0,0.024837,0,0,0.057897,0.057897,0.036749,0.056374,0.056374,0.005226735,0.0004847534,0.3148802,0.0000015910109,0.000026365104,-0.0002691578,0.004935901,0.0040008286,0.4003939,0.4007836,0.00054881815,0.00043574627,-0.00091013126,-0.0014741346,0.00044011232,0.00015076715,0.0007654233,0.0619391,-0.0008082376,0.009104542,0.00048971176,-0.00000001548488,-0.00026577478,0.000000001263739,-0.00026487326,0.05983966,0.059016876,-0.0004828358,-0.0007770052,-0.0008052522,-0.00080525206,0.07554418,0.07552832,-0.00023559388,-0.0002918709,-0.00058645755,0.0000012994533
0.359171,0.359416,-0,-0,0.096924,0.096924,0.028375,0,0,0,0,0.028435,0,0,0.06616,0.06616,0.038883,0.05572,0.05572,0.006064712,0.0007651746,0.2977476,0.0000032031144,0.000020970781,-0.0006520008,0.005759875,0.00427771,0.4143224,0.41527918,0.0006691739,0.0002862569,0.00050285086,-0.000116804615,0.0006282921,0.00010692421,0.00083018,0.06845218,-0.0012274026,0.011191439,0.0038319528,-0.000000016025686,-0.0002433362,0.0000000012502293,-0.00040612603,0.070463374,0.06954953,-0.00027238112,-0.0007280288,-0.0004637983,-0.00046379812,0.1029489,0.10388076,0.0003052624,0.00019942783,0.0020656362,-0.0000010169024
0.226368,0.226536,-0,-0,0.062132,0.062132,0.037182,0,0,0,0,0.037252,0,0,0.074066,0.074066,0.038982,0.055068,0.055068,0.0058532665,0.00019576214,0.2243253,0.000002711875,-0.00008417871,-0.0005220412,0.0074923933,0.0042188573,0.4018283,0.40234098,0.00029431656,-0.00013695378,0.0003313832,0.000012625009,0.0004946212,0.00082461396,0.00038621482,0.04470506,-0.00009484263,0.016028281,0.0041619204,-0.000000015586455,-0.0001364639,0.0000000012161347,-0.00051223254,0.09097215,0.09025635,0.000047696754,-0.0004896568,-0.0003777804,-0.00037778035,0.12681878,0.12852848,0.0007586824,0.0006363634,0.0070570707,-0.0000060910643
0.120561,0.120666,-0,-0,0.03006,0.03006,0.043819,0,0,0,0,0.043897,0,0,0.081107,0.081107,0.036468,0.054584,0.054584,0.0052649816,0.00013889931,0.15857118,0.000003144169,-0.00017379137,-0.0008316552,0.008605085,0.003680353,0.35650435,0.3566686,0.00042567775,0.00008140318,0.0007174667,0.00053460523,0.0006626444,0.0014249417,0.00015625171,0.016604854,-0.000010692049,0.03255807,0.022360805,-0.000000014769654,-0.00033997092,0.0000000012610109,-0.00032628654,0.09266363,0.09196302,0.000027667731,-0.00051737856,-0.00057664874,-0.0005766485,0.12046074,0.122272566,0.0008058073,0.00070010405,0.013617007,-0.00001161583
0.049308,0.04937,-0,-0,0.006473,0.006473,0.047026,0,0,0,0,0.047112,0,0,0.086295,0.086295,0.032394,0.054643,0.054643,0.00439752,0.000055448152,0.13418147,0.0000022825106,-0.00017484327,-0.00059035,0.008502998,0.0031899263,0.32610914,0.32615408,0.0004943507,0.00038468651,0.001701124,0.0012521697,0.00064491574,0.0009471588,-0.00001576636,0.0056142034,-0.00030203303,0.037907433,0.056804832,-0.000000014369993,-0.0002986025,0.0000000012100093,-0.00028730324,0.09240885,0.09175539,-0.00038209,-0.00067522377,-0.00040982704,-0.00040982678,0.111765996,0.11269465,-0.00029839668,-0.00021312013,0.0042601675,-0.00001033202
0.017335,0.017363,-0,-0,0,0,0.046285,0,0,0,0,0.046379,0.002767,0.002767,0.088396,0.088396,0.028732,0.055169,0.055169,0.004304153,-0.000067406334,0.15961571,0.0000017248649,-0.0001124968,-0.00052678725,0.008836197,0.0030667107,0.29867932,0.29885334,0.0005848408,0.0006131027,0.0015647355,0.0011421945,0.0009223325,0.00077967765,-0.000049864873,0.0035627969,0.00025812304,0.027529463,0.079247415,-0.000000014103321,-0.0007168597,0.0000000011558761,-0.00055254623,0.09221372,0.091656476,-0.0005471539,-0.0006639231,-0.000413633,-0.0004136329,0.10294985,0.1032594,-0.0005034059,-0.0003904067,0.0017977282,-0.000011792628
0.007297,0.007299,-0,-0,0,0,0.045903,0,0,0,0,0.046007,0.00262,0.00262,0.088821,0.088821,0.025254,0.055857,0.055857,0.0041603977,-0.000039576553,0.20916626,0.0000024743813,-0.000117043215,-0.00080927834,0.00970915,0.0029010843,0.25834265,0.25861695,0.000518376,0.00046361517,0.0014808811,0.00096587744,0.0010460038,0.00025281217,0.00004816428,0.0011480106,0.0012516724,0.038369995,0.12369922,-0.000000014060225,-0.00068447297,0.0000000012205429,-0.00097474223,0.077633664,0.07716458,-0.00063836947,-0.00059891585,-0.0006071726,-0.00060717243,0.082756184,0.08295445,-0.00044614542,-0.00028634816,0.002779495,-0.000015009282
0.003523,0.003517,-0,-0,0,0,0.045038,0,0,0,0,0.045145,0.002602,0.002602,0.089092,0.089092,0.022986,0.056172,0.056172,0.0033763768,-0.00039473549,0.21563801,0.000003229291,-0.00020718362,-0.0010843561,0.010118708,0.0024522045,0.23325998,0.23358825,0.0002069315,0.00007176865,0.00063482486,0.00028962828,0.001443217,0.00075522996,-0.00016120262,0.0012351591,0.0027406514,0.04167575,0.13023166,-0.000000013695757,-0.00057053776,0.0000000012454804,-0.0012675053,0.072985865,0.07265049,-0.00040250272,-0.00047226902,-0.0010734035,-0.0010734035,0.04859315,0.049137417,0.00046637002,0.00051706284,0.01218079,-0.000022386019
0.002989,0.00298,-0,-0,0,0,0.046095,0,0,0,0,0.0462,0.002428,0.002428,0.089151,0.089151,0.021709,0.05667,0.05667,0.0021612477,-0.00084590074,0.18093152,-0.00000008606639,-0.00016605554,-0.0012591775,0.009746784,0.0023107368,0.2029579,0.20317644,0.00008495711,0.00009296741,0.0011023823,0.0009416202,0.0010934053,0.0012201602,-0.0002416186,0.00076171383,0.0028192713,0.07278627,0.14534539,-0.00000001372956,0.00017336989,0.0000000013706134,-0.0012553036,0.07482513,0.074645236,0.00012259744,-0.00008123834,-0.0015393952,-0.0015393953,0.018194214,0.01861269,0.0018722285,0.0016682995,0.07245288,-0.000018183
